Group,SubCommodity,Date,Price_USD
Wheat,"EU (France) Grade 1, Rouen",29/07/2026,260.0
Wheat,"US HRW (11.5%), Gulf",29/07/2026,320.0
Wheat,"US SRW, Gulf",29/07/2026,272.0
Wheat,"EU (France) Grade 1, Rouen",28/07/2026,261.0
Wheat,"US HRW (11.5%), Gulf",28/07/2026,320.0
Wheat,"US SRW, Gulf",28/07/2026,273.0
Wheat,"EU (France) Grade 1, Rouen",27/07/2026,268.0
Wheat,"US HRW (11.5%), Gulf",27/07/2026,321.0
Wheat,"US SRW, Gulf",27/07/2026,272.0
Wheat,"EU (France) Grade 1, Rouen",24/07/2026,274.0
Wheat,"US HRW (11.5%), Gulf",24/07/2026,327.0
Wheat,"US SRW, Gulf",24/07/2026,279.0
Wheat,"EU (France) Grade 1, Rouen",23/07/2026,276.0
Wheat,"US HRW (11.5%), Gulf",23/07/2026,332.0
Wheat,"US SRW, Gulf",23/07/2026,285.0
Wheat,"EU (France) Grade 1, Rouen",22/07/2026,279.0
Wheat,"US HRW (11.5%), Gulf",22/07/2026,334.0
Wheat,"US SRW, Gulf",22/07/2026,289.0
Wheat,"EU (France) Grade 1, Rouen",21/07/2026,269.0
Wheat,"US HRW (11.5%), Gulf",21/07/2026,323.0
Wheat,"US SRW, Gulf",21/07/2026,279.0
Wheat,"EU (France) Grade 1, Rouen",20/07/2026,270.0
Wheat,"US HRW (11.5%), Gulf",20/07/2026,319.0
Wheat,"US SRW, Gulf",20/07/2026,277.0
Wheat,"EU (France) Grade 1, Rouen",17/07/2026,265.0
Wheat,"US HRW (11.5%), Gulf",17/07/2026,322.0
Wheat,"US SRW, Gulf",17/07/2026,278.0
Wheat,"EU (France) Grade 1, Rouen",16/07/2026,261.0
Wheat,"US HRW (11.5%), Gulf",16/07/2026,317.0
Wheat,"US SRW, Gulf",16/07/2026,275.0
Maize,"Brazil, Paranagua",29/07/2026,224.0
Maize,US 2YC PNW,29/07/2026,232.0
Maize,"Brazil, Paranagua",28/07/2026,228.0
Maize,US 2YC PNW,28/07/2026,239.0
Maize,"Brazil, Paranagua",27/07/2026,225.0
Maize,US 2YC PNW,27/07/2026,236.0
Maize,"Brazil, Paranagua",24/07/2026,230.0
Maize,US 2YC PNW,24/07/2026,241.0
Maize,"Brazil, Paranagua",23/07/2026,230.0
Maize,US 2YC PNW,23/07/2026,241.0
Maize,"Brazil, Paranagua",22/07/2026,230.0
Maize,US 2YC PNW,22/07/2026,240.0
Maize,"Brazil, Paranagua",21/07/2026,225.0
Maize,US 2YC PNW,21/07/2026,234.0
Maize,"Brazil, Paranagua",20/07/2026,223.0
Maize,US 2YC PNW,20/07/2026,233.0
Maize,"Brazil, Paranagua",17/07/2026,222.0
Maize,US 2YC PNW,17/07/2026,232.0
Maize,"Brazil, Paranagua",16/07/2026,220.0
Maize,US 2YC PNW,16/07/2026,229.0
Barley,"EU (France), Feed Rouen",29/07/2026,240.0
Barley,"EU (France), Feed Rouen",28/07/2026,240.0
Barley,"EU (France), Feed Rouen",27/07/2026,247.0
Barley,"EU (France), Feed Rouen",24/07/2026,255.0
Barley,"EU (France), Feed Rouen",23/07/2026,255.0
Barley,"EU (France), Feed Rouen",22/07/2026,257.0
Barley,"EU (France), Feed Rouen",21/07/2026,246.0
Barley,"EU (France), Feed Rouen",20/07/2026,246.0
Barley,"EU (France), Feed Rouen",17/07/2026,245.0
Barley,"EU (France), Feed Rouen",16/07/2026,242.0
Soyabeans,"Brazil, Paranagua",29/07/2026,482.0
Soyabeans,"US 2Y, Gulf",29/07/2026,482.0
Soyabeans,"Brazil, Paranagua",28/07/2026,494.0
Soyabeans,"US 2Y, Gulf",28/07/2026,494.0
Soyabeans,"Brazil, Paranagua",27/07/2026,491.0
Soyabeans,"US 2Y, Gulf",27/07/2026,491.0
Soyabeans,"Brazil, Paranagua",24/07/2026,502.0
Soyabeans,"US 2Y, Gulf",24/07/2026,505.0
Soyabeans,"Brazil, Paranagua",23/07/2026,497.0
Soyabeans,"US 2Y, Gulf",23/07/2026,501.0
Soyabeans,"Brazil, Paranagua",22/07/2026,496.0
Soyabeans,"US 2Y, Gulf",22/07/2026,499.0
Soyabeans,"Brazil, Paranagua",21/07/2026,489.0
Soyabeans,"US 2Y, Gulf",21/07/2026,494.0
Soyabeans,"Brazil, Paranagua",20/07/2026,489.0
Soyabeans,"US 2Y, Gulf",20/07/2026,496.0
Soyabeans,"Brazil, Paranagua",17/07/2026,484.0
Soyabeans,"US 2Y, Gulf",17/07/2026,487.0
Soyabeans,"Brazil, Paranagua",16/07/2026,480.0
Soyabeans,"US 2Y, Gulf",16/07/2026,484.0
Rice,"Thailand 5% Broken, Bangkok",29/07/2026,451.0
Rice,"Vietnam 5% Broken, Ho Chi Minh",29/07/2026,433.0
Rice,"Thailand 5% Broken, Bangkok",28/07/2026,451.0
